ID,Country of Origin,Farm Name,Mill,Company,Altitude,Region,Producer,In-Country Partner,Harvest Year,Owner,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Overall,Defects,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects,Certification Body
16,Ethiopia,Halo Bariti Cooprative,Halo Bariti Cooprative,Coffee Quality Union,2100,Yirgacheffe,Halo Bariti Cooprative,Japan Coffee Exchange,2022,Coffee Quality Union,Wolishalo,Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10.0,10.0,10.0,8.08,0.0,86.08,11.3,0,2,green,2,Japan Coffee Exchange
17,Taiwan,Dongbikafeizhuangyuan,Yes,Dongbi Coffee,1300,Gukeng Township,Chenjingli,Blossom Valley International,2022,Dongbi,Gesha,Natural / Dry,8.0,8.17,8.0,7.92,7.92,7.92,10.0,10.0,10.0,8.17,0.0,86.08,10.3,0,0,yellow-green,0,Blossom Valley International
18,Taiwan,Yingtaoguogukengkafeizhuangyuan,Yes,Chenyiguojiyouxiangongsi,1200,Yunlin County,Wangyinghui,Blossom Valley International,2022,Wangyinghui,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8.0,10.0,10.0,10.0,8.17,0.0,85.92,11.0,0,0,brownish,1,Blossom Valley International
19,United Republic Of Tanzania,Burka,Gourmet Coffee Mill,Dorman T Limited,1600,Arusha,Dorman T Limited,Kenya Coffee Traders Association,2023,Gilbert Maina,Bourbon,Washed / Wet,8.17,8.0,7.92,7.92,8.17,7.75,10.0,10.0,10.0,7.92,0.0,85.83,10.0,0,0,greenish,0,Kenya Coffee Traders Association
20,Guatemala,Finca Vista Hermosa,El Vergel,Taiwan Coffee Laboratory,1900,Fraijanes,Fredy Orantes,Taiwan Coffee Laboratory,2022,Carlos Pascual -,Gesha,Natural / Dry,8.0,7.92,8.08,7.92,7.75,8.0,10.0,10.0,10.0,8.08,0.0,85.75,11.6,0,0,yellowish,0,Taiwan Coffee Laboratory
21,Taiwan,Uncle Chung.S Coffee Farm,Uncle Chung.S Coffee Farm,Taiwan Coffee Laboratory,850,Zhuoxi Township,Yu Ting Yu,Taiwan Coffee Laboratory,2022,Yu Ting Yu,Typica,Natural / Dry,8.08,8.0,7.92,7.92,8.0,7.83,10.0,10.0,10.0,7.92,0.0,85.67,10.4,0,0,green,0,Taiwan Coffee Laboratory
22,Thailand,Hom Doi,Machines To Peel Outer Skin Of The Cherry Coffee And Coffee Is Dried Manually,Lyrose,1700,Chiang Mai,Lisu Farmers,Fabb Academy Of Coffee,2022,Christian Charmette,Catimor,Pulped Natural / Honey,7.67,8.0,7.83,8.0,8.08,8.0,10.0,10.0,10.0,8.08,0.0,85.67,9.8,0,0,browish-green,5,Fabb Academy Of Coffee
23,Colombia,El Diamante,El Diamante,Coffee Quality Union,1350,Quindio,Farm Bedoya Arango,Japan Coffee Exchange,2022,Coffee Quality Union,Castillo Paraguaycito,Unknown,8.08,8.0,7.83,8.17,7.75,7.83,10.0,10.0,10.0,8.0,0.0,85.67,11.3,0,0,brownish,2,Japan Coffee Exchange
24,Taiwan,Yongshunkafeizhuangyuan,Yongshunkafeizhuangyuan,Taiwan Coffee Laboratory,1250,Yunlin,Suganyong,Taiwan Coffee Laboratory,2022,Taiwan Coffee Laboratory,Sl34,Washed / Wet,7.83,8.0,7.92,8.0,8.0,7.92,10.0,10.0,10.0,7.92,0.0,85.58,10.6,0,0,bluish-green,0,Taiwan Coffee Laboratory
25,Brazil,Fazenda Recreio,Dry Mill,"Wit Wealth, Investments & Trust",1250,Região Vulcânica,Diogo T. Dias De Macedo,Brazil Specialty Coffee Association,2022,Andre Clark,Unknown,Pulped Natural / Honey,7.83,8.08,7.83,7.92,8.0,7.83,10.0,10.0,10.0,8.0,0.0,85.5,11.3,2,0,green,3,Brazil Specialty Coffee Association
26,Taiwan,Zouzhouyuan,Zouzhouyuan,Taiwan Coffee Laboratory,1300,Chiayi,Fangzhenglun,Taiwan Coffee Laboratory,2022,"Fang, Cheng Lun",Gesha,Natural / Dry,7.92,7.92,8.0,7.92,7.83,7.92,10.0,10.0,10.0,8.0,0.0,85.5,9.1,0,0,green,2,Taiwan Coffee Laboratory
27,Taiwan,Songyuekafeizhuangyuan,Songyuekafeizhuangyuan,Taiwan Coffee Laboratory,1200,Yunlin,Guozhihao,Taiwan Coffee Laboratory,2022,"Jhih Hao,Guo",Gesha,Natural / Dry,8.17,8.08,7.92,8.0,7.58,7.83,10.0,10.0,10.0,7.92,0.0,85.5,10.6,0,0,green,0,Taiwan Coffee Laboratory
